,name
0,"(66.6615094, 66.3810869)"
1,"(63.2002917, 75.4475807)"
2,"(66.085196, 76.6799167)"
3,"(66.5582332, 67.8051987)"
4,"(55.7504461, 37.6174943)"
5,"(55.7504461, 37.6174943)"
6,"(55.7504461, 37.6174943)"
7,"(55.7504461, 37.6174943)"
8,"(55.7504461, 37.6174943)"
9,"(55.7504461, 37.6174943)"
10,"(55.7504461, 37.6174943)"
11,"(55.7504461, 37.6174943)"
12,"(55.7504461, 37.6174943)"
13,"(55.7504461, 37.6174943)"
14,"(55.7504461, 37.6174943)"
15,"(55.7504461, 37.6174943)"
16,"(55.7504461, 37.6174943)"
17,"(55.9964233, 37.198534)"
18,"(60.9339411, 76.5814274)"
19,"(60.12912, 64.803627)"
20,"(61.254032, 73.3964)"
21,"(66.455612, 143.223007)"
22,"(67.455497, 153.7071456)"
23,"(62.0274078, 129.7319787)"
24,"(62.0274078, 129.7319787)"
25,"(62.0274078, 129.7319787)"
26,"(62.0274078, 129.7319787)"
27,"(56.6579435, 124.7123042)"
28,"(62.7948939, 130.7530077)"
29,"(68.970665, 33.07497)"
30,"(68.970665, 33.07497)"
31,"(69.19191, 33.232357)"
32,"(59.938732, 30.316229)"
33,"(59.938732, 30.316229)"
34,"(59.938732, 30.316229)"
35,"(59.938732, 30.316229)"
36,"(59.938732, 30.316229)"
37,"(59.938732, 30.316229)"
38,"(59.938732, 30.316229)"
39,"(59.938732, 30.316229)"
40,"(59.938732, 30.316229)"
41,"(59.938732, 30.316229)"
42,"(59.938732, 30.316229)"
43,"(59.938732, 30.316229)"
44,"(59.938732, 30.316229)"
45,"(59.938732, 30.316229)"
46,"(59.938732, 30.316229)"
47,"(59.938732, 30.316229)"
48,"(59.938732, 30.316229)"
49,"(59.938732, 30.316229)"
50,"(59.938732, 30.316229)"
51,"(59.748444, 30.604479)"
52,"(59.7337993, 30.0862468)"
53,"(55.8705593, 38.2032701)"
54,"(55.9341491, 37.5142417)"
55,"(0, 0)"
56,"(55.8917293, 37.4396994)"
57,"(55.8917293, 37.4396994)"
58,"(55.9204898, 37.8326289)"
59,"(55.8036225, 37.9646488)"
60,"(55.0938743, 38.7670121)"
61,"(61.6685237, 50.8352024)"
62,"(56.0090968, 92.8725147)"
63,"(56.205997, 95.706787)"
64,"(56.205997, 95.706787)"
65,"(56.211464, 89.531639)"
66,"(56.250938, 93.53286)"
67,"(49.7967994, 129.4031691)"
68,"(50.290527, 127.527161)"
69,"(56.820175, 29.025122)"
70,"(0, 0)"
71,"(48.481403, 135.076935)"
72,"(48.481403, 135.076935)"
73,"(50.550877, 137.020782)"
74,"(50.550877, 137.020782)"
75,"(50.550877, 137.020782)"
76,"(62.1059279, 42.9076435)"
77,"(0, 0)"
78,"(64.419212, 40.793793)"
79,"(64.2270008, 41.6512435)"
80,"(61.6612985, 40.1970404)"
81,"(43.7972447, 131.9520752)"
82,"(43.1150678, 131.8855768)"
83,"(43.1150678, 131.8855768)"
84,"(43.1406647, 133.1433137)"
85,"(57.153534, 65.542274)"
86,"(57.153534, 65.542274)"
87,"(57.153534, 65.542274)"
88,"(57.153534, 65.542274)"
89,"(57.153534, 65.542274)"
90,"(57.153534, 65.542274)"
91,"(57.153534, 65.542274)"
92,"(56.9533906, 65.8209239)"
93,"(54.562096, 100.579216)"
94,"(54.562096, 100.579216)"
95,"(52.289597, 104.280586)"
96,"(52.289597, 104.280586)"
97,"(52.289597, 104.280586)"
98,"(52.289597, 104.280586)"
99,"(52.289597, 104.280586)"
100,"(52.289597, 104.280586)"
101,"(52.5311117, 103.8826109)"
102,"(54.7415729, 20.6684868)"
103,"(52.2097478, 104.097683)"
104,"(56.7810026, 105.7460255)"
105,"(56.577915, 104.12294)"
106,"(53.6331203, 102.1428199)"
107,"(59.8968655, 29.0765628)"
108,"(59.5706273, 30.1305083)"
109,"(59.450325, 32.010578)"
110,"(56.3264816, 44.0051395)"
111,"(51.649864, 117.564728)"
112,"(51.275215, 108.854485)"
113,"(51.1057609, 114.5408006)"
114,"(52.033409, 113.500893)"
115,"(50.096992, 118.041344)"
116,"(56.488712, 84.952324)"
117,"(56.488712, 84.952324)"
118,"(56.488712, 84.952324)"
119,"(56.488712, 84.952324)"
120,"(56.488712, 84.952324)"
121,"(56.603161, 84.881012)"
122,"(58.313667, 82.903557)"
123,"(61.790039, 34.390007)"
124,"(56.2743422, 37.5133813)"
125,"(54.5101087, 36.2598115)"
126,"(54.5101087, 36.2598115)"
127,"(57.905149, 59.9508466)"
128,"(57.905149, 59.9508466)"
129,"(58.281757, 59.762329)"
130,"(56.839104, 60.60825)"
131,"(56.839104, 60.60825)"
132,"(56.839104, 60.60825)"
133,"(56.839104, 60.60825)"
134,"(56.839104, 60.60825)"
135,"(56.9724682, 60.5738926)"
136,"(57.61797, 64.384918)"
137,"(56.415451, 61.917797)"
138,"(56.415451, 61.917797)"
139,"(58.357063, 60.037445)"
140,"(57.4264892, 60.0664537)"
141,"(53.890972, 86.737663)"
142,"(55.2751962, 85.6228741)"
143,"(55.2751962, 85.6228741)"
