,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
0,116376,8900000300000,0.6,2022-07-21,1.0,2,40000,0,0,1.0,1,1,74,1,0,0.0
1,116376,8900000700000,1.0,2022-04-11,1.0,14,70000,0,0,1.0,1,1,87,7,0,0.5
2,116376,8900000600000,0.6,2022-10-07,1.0,0,40000,0,0,1.0,0,0,64,0,0,0.3
3,116376,8900300000100,0.5,2022-04-15,1.0,1,45000,0,0,1.0,1,1,65,1,0,0.0
4,112768,7700000000000,1.0,2022-02-01,1.0,1,100000,0,0,1.0,1,1,82,1,0,0.9
5,112768,7700000000000,0.6,2022-07-18,0.8,13,80000,0,0,0.9,0,1,79,1,0,0.0
6,112768,7700000000000,1.0,2022-05-17,1.0,4,200000,0,0,1.0,0,0,65,4,0,0.9
7,112768,7700000000000,1.0,2022-07-22,1.0,22,80000,0,0,1.0,0,1,74,1,0,0.3
8,112768,7700000000000,1.0,2022-02-24,1.0,2,70000,0,0,0.5,0,1,75,1,0,0.7
9,112768,7700000000000,0.6,2021-11-03,1.0,1,50000,1,0,1.0,0,1,84,2,0,0.7
10,112768,7700000000000,1.0,2022-10-26,0.8,3,200000,0,0,0.9,1,1,74,2,0,0.7
11,112768,7700000200000,0.6,2022-12-28,1.0,0,60000,0,0,1.0,1,1,75,1,0,0.3
12,112768,7700000000000,0.6,2022-05-16,1.0,0,25000,0,0,1.0,0,0,69,0,0,0.9
13,112768,7700000000000,1.0,2022-06-17,1.0,1,60000,0,0,1.0,0,0,67,1,1,0.7
14,112768,7700000000000,1.0,2022-10-26,1.0,13,200000,0,0,1.0,1,1,76,1,1,0.5
15,112768,7700000000000,0.7,2022-05-05,1.0,12,50000,1,1,1.0,1,1,94,5,1,0.9
16,112768,7700000000000,1.0,2023-01-17,1.0,14,70000,0,0,0.9,1,1,85,2,0,0.3
17,112768,7700000000000,1.0,2022-12-06,1.0,1,100000,0,0,1.0,0,0,71,1,0,0.5
18,85447,8600001100000,0.6,2022-11-11,1.0,0,30000,0,0,1.0,0,1,80,1,0,0.3
19,85447,8600000900000,1.0,2022-02-14,1.0,10,45000,1,1,1.0,1,1,93,7,1,0.7
20,85447,8600001000000,0.6,2022-10-27,1.0,2,60000,1,1,1.0,0,1,87,2,0,0.0
21,84472,1401800000100,0.5,2022-12-22,1.0,10,55000,0,0,1.0,0,0,57,1,0,0.0
22,84472,1402500100000,0.6,2022-07-04,1.0,3,53000,0,0,1.0,1,1,65,1,0,0.3
23,84472,1400000100000,1.0,2022-11-15,1.0,0,100000,0,0,1.0,0,0,0,0,0,0.3
24,84472,1400000100000,0.5,2022-04-18,1.0,0,35000,0,0,1.0,1,1,54,0,0,0.0
25,84472,1400000100000,0.6,2021-12-24,1.0,1,30000,0,0,1.0,1,1,75,1,0,0.9
26,84472,1400000200000,0.6,2021-11-22,1.0,1,40000,0,0,1.0,0,0,60,1,0,0.0
27,84472,1400000100000,1.0,2022-06-06,1.0,1,45000,0,0,1.0,1,1,86,1,0,0.5
28,84472,1402900001200,0.5,2023-03-02,1.0,0,25000,0,0,1.0,1,1,60,0,0,0.0
29,76565,5100000100000,0.6,2021-11-01,1.0,0,20000,0,0,1.0,0,1,72,0,0,0.3
