localityName;Salary
Чукотский АО;130 738
Ямало Ненецкий автономный округ;116 376
Магаданская обл.;112 852
г. Москва;112 768
Ненецкий АО;95 705
Сахалинская обл.;94 285
Камчатский край;93 880
Ханты Мансийский автономный округ   Югра;85 447
Республика Саха (Якутия);84 472
Мурманская обл.;76 565
г. Санкт Петербург;76 259
Московская обл.;64 041
Коми;60 769
Красноярский край;60 608
Амурская обл.;59 098
Хабаровский край;58 786
Архангельская обл.;57 979
Приморский край;55 615
Тюменская обл.;55 270
Иркутская обл.;55 209
Ленинградская обл.;52 749
Забайкальский край;52 216
Томская обл.;50 955
Еврейская АО;50 075
Карелия;49 553
Калужская обл.;48 837
Свердловская обл.;48 590
Кемеровская обл.;48 313
Хакасия;47 817
Пермский край;46 267
Новосибирская обл.;46 167
Тыва;46 084
Республика Татарстан;45 800
Бурятия;45 610
Вологодская обл.;45 463
Тульская обл.;44 726
Челябинская обл.;43 781
Краснодарский край;43 510
Башкортостан;42 848
Самарская обл.;42 771
Астраханская обл.;42 096
Белгородская обл.;41 775
Калининградская обл.;41 563
Нижегородская обл.;41 369
Ярославская обл.;41 209
Омская обл.;41 152
Воронежская обл.;40 830
Рязанская обл.;40 631
Курская обл.;40 292
Тверская обл.;40 286
Липецкая обл.;40 188
Севастополь;40 145
Алтай;39 806
Удмуртская Республика;39 791
Владимирская обл.;39 550
Ростовская обл.;39 291
Новгородская обл.;39 206
Волгоградская обл.;39 031
Оренбургская обл.;38 357
Крым;38 158
Саратовская обл.;37 408
Ставропольский край;37 387
Смоленская обл.;36 529
Курганская обл.;36 188
Кировская обл.;36 143
Ульяновская обл.;36 126
Пензенская обл.;36 031
Адыгея;36 001
Костромская обл.;35 967
Чувашская Республика;35 799
Орловская обл.;35 754
Брянская обл.;35 582
Марий Эл;35 497
Псковская обл.;35 369
Мордовия;34 499
Тамбовская обл.;34 438
Алтайский край;33 872
Калмыкия;33 030
Республика Северная Осетия Алания;32 999
Карачаево Черкесская Республика;32 846
Ивановская обл.;32 403
Дагестан;31 859
Кабардино Балкарская Республика;31 712
Ингушетия;31 362
Чеченская Республика;31 291
